
> sentinel-guard@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.133.34.236:3000
- Environments: .env.local

✓ Starting...
Creating turbopack project { dir: 'C:\\Dev\\Sentinel-Guard\\sentinel-guard', testMode: true }
✓ Ready in 4.1s
Database Connected
 POST /api/admin/signup 200 in 4.9s (compile: 1917ms, proxy.ts: 478ms, render: 2.5s)
 POST /api/admin/login 200 in 660ms (compile: 236ms, proxy.ts: 16ms, render: 408ms)
 GET /api/platform/tenants/resolve 200 in 1064ms (compile: 90ms, proxy.ts: 12ms, render: 962ms)
 GET /api/threats/check?ip=::1 200 in 1237ms (compile: 109ms, proxy.ts: 16ms, render: 1112ms)
 GET /api/rules?tenantId=69b9639b1b86449ceab670a7&source=proxy 200 in 1220ms (compile: 136ms, proxy.ts: 13ms, render: 1071ms)
 POST /api/logs 200 in 1144ms (compile: 119ms, proxy.ts: 11ms, render: 1013ms)
 POST /api/threats 200 in 1197ms (compile: 105ms, proxy.ts: 11ms, render: 1081ms)
 GET /api/test 200 in 6.0s (compile: 96ms, proxy.ts: 5.9s, render: 10ms)
 GET /api/platform/tenants/resolve 200 in 979ms (compile: 8ms, proxy.ts: 10ms, render: 961ms)
 GET /api/threats/check?ip=::1 200 in 1059ms (compile: 8ms, proxy.ts: 9ms, render: 1043ms)
 GET /api/rules?tenantId=69b9639b1b86449ceab670a7&source=proxy 200 in 1096ms (compile: 7ms, proxy.ts: 9ms, render: 1079ms)
 POST /api/logs 200 in 1116ms (compile: 6ms, proxy.ts: 10ms, render: 1100ms)
 POST /api/threats 200 in 947ms (compile: 6ms, proxy.ts: 9ms, render: 933ms)
 GET /api/test 200 in 5.3s (compile: 6ms, proxy.ts: 5.3s, render: 7ms)
 GET /api/platform/tenants/resolve 200 in 1007ms (compile: 5ms, proxy.ts: 9ms, render: 993ms)
 GET /api/threats/check?ip=::1 200 in 1114ms (compile: 6ms, proxy.ts: 9ms, render: 1099ms)
 GET /api/rules?tenantId=69b9639b1b86449ceab670a7&source=proxy 200 in 1117ms (compile: 5ms, proxy.ts: 10ms, render: 1102ms)
 POST /api/logs 200 in 1115ms (compile: 5ms, proxy.ts: 9ms, render: 1101ms)
 POST /api/threats 200 in 1027ms (compile: 5ms, proxy.ts: 9ms, render: 1012ms)
 GET /api/test 200 in 5.4s (compile: 10ms, proxy.ts: 5.4s, render: 9ms)
 GET /api/platform/tenants/resolve 200 in 925ms (compile: 6ms, proxy.ts: 10ms, render: 909ms)
 GET /api/threats/check?ip=::1 200 in 1006ms (compile: 9ms, proxy.ts: 10ms, render: 986ms)
 GET /api/rules?tenantId=69b9639b1b86449ceab670a7&source=proxy 200 in 1016ms (compile: 6ms, proxy.ts: 9ms, render: 1001ms)
 POST /api/logs 200 in 1118ms (compile: 6ms, proxy.ts: 10ms, render: 1102ms)
 POST /api/threats 200 in 1119ms (compile: 6ms, proxy.ts: 10ms, render: 1103ms)
 GET /api/test 200 in 5.2s (compile: 5ms, proxy.ts: 5.2s, render: 9ms)
 GET /api/platform/tenants/resolve 200 in 900ms (compile: 5ms, proxy.ts: 11ms, render: 884ms)
 GET /api/threats/check?ip=::1 200 in 1048ms (compile: 6ms, proxy.ts: 9ms, render: 1033ms)
 GET /api/rules?tenantId=69b9639b1b86449ceab670a7&source=proxy 200 in 1120ms (compile: 5ms, proxy.ts: 9ms, render: 1106ms)
 POST /api/logs 200 in 1017ms (compile: 6ms, proxy.ts: 7ms, render: 1004ms)
 POST /api/threats 200 in 1018ms (compile: 6ms, proxy.ts: 9ms, render: 1003ms)
 GET /api/test 200 in 5.2s (compile: 6ms, proxy.ts: 5.1s, render: 8ms)
 GET /api/platform/tenants/resolve 200 in 883ms (compile: 5ms, proxy.ts: 8ms, render: 870ms)
 GET /api/threats/check?ip=::1 200 in 1035ms (compile: 5ms, proxy.ts: 8ms, render: 1022ms)
 GET /api/rules?tenantId=69b9639b1b86449ceab670a7&source=proxy 200 in 1047ms (compile: 6ms, proxy.ts: 7ms, render: 1033ms)
 POST /api/logs 200 in 1016ms (compile: 5ms, proxy.ts: 9ms, render: 1002ms)
 POST /api/threats 200 in 1018ms (compile: 5ms, proxy.ts: 9ms, render: 1005ms)
 GET /api/test 200 in 5.1s (compile: 5ms, proxy.ts: 5.0s, render: 6ms)
 GET /api/platform/tenants/resolve 200 in 898ms (compile: 5ms, proxy.ts: 9ms, render: 884ms)
 GET /api/threats/check?ip=::1 200 in 1049ms (compile: 6ms, proxy.ts: 9ms, render: 1034ms)
 GET /api/rules?tenantId=69b9639b1b86449ceab670a7&source=proxy 200 in 1119ms (compile: 6ms, proxy.ts: 8ms, render: 1105ms)
 POST /api/logs 200 in 1017ms (compile: 6ms, proxy.ts: 10ms, render: 1001ms)
 POST /api/threats 200 in 1016ms (compile: 6ms, proxy.ts: 8ms, render: 1002ms)
 GET /api/test 200 in 5.2s (compile: 6ms, proxy.ts: 5.1s, render: 8ms)
 GET /api/platform/tenants/resolve 200 in 914ms (compile: 5ms, proxy.ts: 9ms, render: 900ms)
 GET /api/threats/check?ip=::1 200 in 1035ms (compile: 6ms, proxy.ts: 8ms, render: 1021ms)
 GET /api/rules?tenantId=69b9639b1b86449ceab670a7&source=proxy 200 in 1016ms (compile: 5ms, proxy.ts: 9ms, render: 1002ms)
 POST /api/logs 200 in 1121ms (compile: 5ms, proxy.ts: 9ms, render: 1108ms)
 POST /api/threats 200 in 1017ms (compile: 6ms, proxy.ts: 12ms, render: 999ms)
 GET /api/test 200 in 5.2s (compile: 6ms, proxy.ts: 5.1s, render: 8ms)
 GET /api/platform/tenants/resolve 200 in 906ms (compile: 5ms, proxy.ts: 12ms, render: 890ms)
 GET /api/threats/check?ip=::1 200 in 1040ms (compile: 5ms, proxy.ts: 9ms, render: 1026ms)
 GET /api/rules?tenantId=69b9639b1b86449ceab670a7&source=proxy 200 in 1233ms (compile: 5ms, proxy.ts: 9ms, render: 1219ms)
 POST /api/logs 200 in 1195ms (compile: 14ms, proxy.ts: 35ms, render: 1146ms)
 POST /api/threats 200 in 1324ms (compile: 7ms, proxy.ts: 11ms, render: 1307ms)
 GET /api/test 200 in 5.8s (compile: 7ms, proxy.ts: 5.8s, render: 9ms)
 GET /api/platform/tenants/resolve 200 in 997ms (compile: 7ms, proxy.ts: 10ms, render: 980ms)
 GET /api/threats/check?ip=::1 200 in 1151ms (compile: 5ms, proxy.ts: 9ms, render: 1137ms)
 GET /api/rules?tenantId=69b9639b1b86449ceab670a7&source=proxy 200 in 1323ms (compile: 7ms, proxy.ts: 9ms, render: 1308ms)
 POST /api/logs 200 in 1221ms (compile: 6ms, proxy.ts: 14ms, render: 1201ms)
 POST /api/threats 200 in 1324ms (compile: 7ms, proxy.ts: 11ms, render: 1307ms)
 GET /api/test 200 in 6.1s (compile: 7ms, proxy.ts: 6.1s, render: 9ms)
 GET /api/platform/tenants/resolve 200 in 1084ms (compile: 7ms, proxy.ts: 11ms, render: 1066ms)
 GET /api/threats/check?ip=::1 200 in 1477ms (compile: 8ms, proxy.ts: 13ms, render: 1456ms)
 GET /api/rules?tenantId=69b9639b1b86449ceab670a7&source=proxy 200 in 1319ms (compile: 10ms, proxy.ts: 12ms, render: 1296ms)
 POST /api/logs 200 in 1211ms (compile: 7ms, proxy.ts: 9ms, render: 1195ms)
 POST /api/threats 200 in 1118ms (compile: 7ms, proxy.ts: 11ms, render: 1100ms)
 GET /api/platform/tenants/resolve 200 in 967ms (compile: 5ms, proxy.ts: 9ms, render: 953ms)
 GET /api/threats/check?ip=::1 200 in 1313ms (compile: 8ms, proxy.ts: 11ms, render: 1294ms)
 GET /api/rules?tenantId=69b9639b1b86449ceab670a7&source=proxy 200 in 1320ms (compile: 7ms, proxy.ts: 10ms, render: 1304ms)
 POST /api/logs 200 in 1219ms (compile: 6ms, proxy.ts: 13ms, render: 1199ms)
 POST /api/threats 200 in 1324ms (compile: 6ms, proxy.ts: 10ms, render: 1308ms)
 GET /api/platform/tenants/resolve 200 in 1155ms (compile: 6ms, proxy.ts: 10ms, render: 1139ms)
 GET /api/threats/check?ip=::1 200 in 1166ms (compile: 7ms, proxy.ts: 10ms, render: 1150ms)
 GET /api/rules?tenantId=69b9639b1b86449ceab670a7&source=proxy 200 in 1280ms (compile: 6ms, proxy.ts: 16ms, render: 1257ms)
 POST /api/logs 200 in 1265ms (compile: 9ms, proxy.ts: 11ms, render: 1245ms)
 POST /api/threats 200 in 1324ms (compile: 6ms, proxy.ts: 12ms, render: 1306ms)
 GET /api/analytics/traffic 200 in 248ms (compile: 135ms, proxy.ts: 14ms, render: 99ms)
 GET /api/analytics/blocks 200 in 248ms (compile: 145ms, proxy.ts: 9ms, render: 94ms)
 GET /api/analytics/top-ips 200 in 294ms (compile: 127ms, proxy.ts: 10ms, render: 157ms)
 GET /api/analytics/threats 200 in 281ms (compile: 127ms, proxy.ts: 11ms, render: 143ms)
 GET /api/admin/logs/recent 200 in 266ms (compile: 162ms, proxy.ts: 12ms, render: 92ms)
 POST /api/admin/login 200 in 329ms (compile: 9ms, proxy.ts: 13ms, render: 307ms)
 GET /api/analytics/traffic 200 in 96ms (compile: 7ms, proxy.ts: 11ms, render: 78ms)
 GET /api/admin/logs/recent 200 in 98ms (compile: 6ms, proxy.ts: 10ms, render: 81ms)
^C^C
